Matricule	Qualite	Nom usuel	Prenom usuel	Etat	Date naissance	Date de deces	Groupe politique	Type d'app au grp politique	Commission permanente	Circonscription	Fonction au Bureau du Senat	Courrier electronique	PCS INSEE	Categorie professionnelle	Description de la profession
11054L	M.	Roger	Gilbert	ACTIF	09/11/1953		SOCR		commission des affaires étrangères	Seine-Saint-Denis		g.roger@senat.fr	Autres personnes sans activité professionnelle	Salariés (Retraités)	Maître-nageur sauveteur
59558B	M.	Roger	Jean	ANCIEN	30/09/1923	18/06/2011	R.D.E.		commission de l'économie	Tarn-et-Garonne			Vétérinaires (libéraux ou salariés)	Professions médicales (Vétérinaires)	Vétérinaire
07002G	Mme	Roger-Coupin	Maryse	ANCIEN	12/07/1949		NI		Aucune (Président du Sénat)	Pas-de-Calais			Professions intermédiaires administratives de la fonction publique	Fonctionnaires (Cadres moyens)	Documentaliste
000174	M.	Rollin	René	ANCIEN	07/12/1907	13/09/1984	G.D.		commission de la culture	Haute-Marne			Retraités	Enseignement (Retraités)	Professeur en retraite
000128	M.	Romaine	Eugène	ANCIEN	13/07/1905	29/07/1983	G.D.		commission des affaires étrangères	Creuse	Secrétaire du Sénat		Ouvriers	Salariés (Ouvriers)	Minotier
59312E	M.	Romani	Roger	ANCIEN	25/08/1934		Les Républicains		commission des affaires étrangères	Paris	Vice-président du Sénat	r.romani@senat.fr	Cadres d'entreprise	Salariés (Cadres divers)	Cadre administratif
11046L	M.	Rome	Yves	ANCIEN	25/04/1950		LaREM		commission des affaires économiques	Oise		y.rome@senat.fr	Autres personnes sans activité professionnelle	Enseignement (Divers)	Conseiller en formation continue
58638V	M.	Rosette	Marcel	ANCIEN	03/12/1925	18/11/2005	C		commission des affaires étrangères	Val-de-Marne			Employés administratifs d'entreprise	Salariés (Employés)	Employé
000172	M.	Rosselli	Jacques	ANCIEN	15/11/1907	04/02/1974	U.D.R.		commission des lois	Français établis hors de France			Avocats	Professions judiciaires et libérales (Avocats)	Avocat
11045K	Mme	Rossignol	Laurence	ACTIF	22/12/1957		SOCR		commission des affaires sociales	Oise		l.rossignol@senat.fr	Autres personnes sans activité professionnelle	Professions judiciaires et libérales (Divers)	Juriste
000704	M.	Rotinat	Vincent	ANCIEN	10/07/1888	14/03/1975	G.D.		commission des affaires étrangères	Indre			Anciens cadres	Enseignement (Retraités)	Professeur honoraire
000044	M.	Roubert	Alex	ANCIEN	12/06/1901	14/01/1980	SOCR		commission des finances	Alpes-Maritimes			Avocats	Professions judiciaires et libérales (Avocats)	Avocat
58929E	M.	Roudier	Roger	ANCIEN	13/05/1926	04/03/2002	SOCR		commission de l'économie	Dordogne			Anciens cadres	Enseignement (Retraités)	Retraité de l'enseignement
57146A	M.	Rougeron	Georges	ANCIEN	06/01/1911	10/08/2003	SOCR		commission de la culture	Allier			Professions intermédiaires administratives de la fonction publique	Fonctionnaires (Divers)	Fonctionnaire communal
80039J	M.	Roujas	Gérard	ANCIEN	08/09/1943		SOCR		commission des affaires étrangères	Haute-Garonne			Employés administratifs d'entreprise	Salariés (Employés)	Agent technique
000443	M.	Roujon	Jules	ANCIEN	18/03/1920	26/05/1985	U.R.E.I.		commission de l'économie	Lozère			Professions libérales	Professions judiciaires et libérales (Divers)	Profession libérale
95065N	M.	Rouquet	René	ANCIEN	15/02/1946		SOCR		commission de la culture	Val-de-Marne			Ouvriers	Salariés (Ouvriers)	Electromécanicien
16431B	M.	Roustan	Max	ANCIEN	29/09/1944		Aucun		Aucune (Président du Sénat)	Gard			Autres personnes sans activité professionnelle	Sans profession déclarée	
80040B	M.	Rouvière	André	ANCIEN	29/04/1936	02/11/2015	SOCR		commission des affaires étrangères	Gard		permanence.rouviere@wanadoo.fr	Anciens cadres	Enseignement (Retraités)	Enseignant retraité
14107H	M.	Roux	Jean-Yves	ACTIF	18/01/1970		RDSE		commission de la culture	Alpes de Haute-Provence		jy.roux@senat.fr	Cadres de la fonction publique	Salariés (Cadres divers)	Agent de maîtrise
000214	M.	Roux	Olivier	ANCIEN	10/07/1909	14/10/1995	UC		commission des affaires sociales	Français établis hors de France			Anciens cadres et professions liberales	Salariés (Retraités)	Directeur de Banque Honoraire
000768	M.	Roy	Louis	ANCIEN	29/04/1898	24/04/1966	U.N.R.		commission des affaires sociales	Aisne			Médecins hospitaliers (sans activité libérale)	Professions médicales (Chirurgiens)	Chirurgien
000754	M.	Roy	Pierre	ANCIEN	25/06/1898	15/07/1984	RI		commission de la culture	Vendée			Commercants et assimilés	Commerce et industrie (Négociants)	Négociant
01029S	Mme	Rozier	Janine	ANCIEN	13/04/1938		Les Républicains		commission des affaires sociales	Loiret		j.rozier@senat.fr	Huissiers de justice, officiers ministériels et professions libérales divers	Professions judiciaires et libérales (Divers)	Clerc de notaire
000505	M.	Rudloff	Marcel	ANCIEN	15/03/1923	23/03/1996	UC		commission des lois	Bas-Rhin			Avocats	Professions judiciaires et libérales (Avocats)	Avocat
58928D	M.	Ruet	Roland	ANCIEN	29/10/1921	26/01/2001	U.R.E.I.		commission de la culture	Ain	Secrétaire du Sénat		Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Chef d'entreprise
83052T	M.	Rufin	Michel	ANCIEN	12/08/1920	27/03/2002	RPR		commission de la culture	Meuse		Non public	Huissiers de justice, officiers ministériels et professions libérales divers	Professions judiciaires et libérales (Officiers ministériels)	Notaire
000305	M.	Sadi	Abdelkrim	ANCIEN	12/02/1913	18/06/1975	U.N.R.		commission des lois	Setif-Batna			Professions intermédiaires administratives de la fonction publique	Fonctionnaires (Cadres moyens)	Officier de police
19619A	Mme	Saint-Pé	Denise	ACTIF	05/01/1951		UC		commission des affaires économiques	Pyrénées-Atlantiques		d.saint-pe@senat.fr	Autres personnes sans activité professionnelle	Sans profession déclarée	
000453	M.	Sallenave	Pierre	ANCIEN	20/11/1920	31/05/1983	U.R.E.I.		commission des affaires sociales	Pyrénées-Atlantiques			Commercants et assimilés	Commerce et industrie (Négociants)	Négociant
000564	M.	Salvi	Pierre	ANCIEN	02/04/1926	09/01/1989	UC		commission des lois	Val-d'Oise	Secrétaire du Sénat		Ingenieurs et cadres techniques d'entreprise	Salariés (Ingénieurs)	Ingénieur
000749	M.	Sambron	Maurice	ANCIEN	22/07/1898	13/12/1973	RI		commission de l'économie	Loire-Atlantique			Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Industriel
01036R	Mme	San Vicente-Baudrin	Michèle	ANCIEN	19/05/1955		SOCR		commission des affaires sociales	Pas-de-Calais		m.san-vicente@senat.fr	Autres personnes sans activité professionnelle	Sans profession déclarée	Sans profession déclarée
57752S	M.	Sanglier	Jacques	ANCIEN	22/02/1919	03/03/2014	RPR		commission des affaires étrangères	Paris			Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Editeur-Imprimeur
000300	M.	Sassi	Benaissa	ANCIEN	11/11/1912	18/07/1961	G.D.	Rattaché	commission des affaires étrangères	Mostaganem-Tiaret			Agriculteurs exploitants	Professions agricoles	Propriétaire
01019Q	M.	Saugey	Bernard	ANCIEN	03/03/1943		Les Républicains		commission des lois	Isère	Questeur du Sénat	bernard.saugey@orange.fr	Autres personnes sans activité professionnelle	Professions libérales (Journalistes)	Administrateur de journaux
89040Q	M.	Saunier	Claude	ANCIEN	26/02/1943		SOCR		commission de l'économie	Côtes-d'Armor		c.saunier@senat.fr	Instituteurs et assimilés	Enseignement secondaire	Professeur
19421M	M.	Saury	Hugues	ACTIF	12/11/1958		Les Républicains	Apparenté	commission des affaires étrangères	Loiret		h.saury@senat.fr	Pharmaciens libéraux	Professions médicales (Pharmaciens)	Pharmacien
58336J	M.	Sauvage	Jean	ANCIEN	03/10/1909	15/07/2005	U.C.D.P.		commission de la culture	Maine-et-Loire			Cadres d'entreprise	Salariés (Cadres divers)	Cadre
000673	M.	Sauvageot	Edmond	ANCIEN	01/10/1898	11/10/1983	RI		commission des finances	Français établis hors de France			Professions libérales	Professions judiciaires et libérales (Divers)	Administrateur de Sociétés
11097X	M.	Savary	René-Paul	ACTIF	03/01/1953		Les Républicains		commission des affaires sociales	Marne		rp.savary@senat.fr	Autres personnes sans activité professionnelle	Professions médicales (Médecins)	Médecin
11043H	M.	Savin	Michel	ACTIF	25/11/1958		Les Républicains		commission de la culture	Isère		m.savin@senat.fr	Autres personnes sans activité professionnelle	Fonctionnaires (Divers)	Agent technique principal
19687N	M.	Savoldelli	Pascal	ACTIF	14/01/1961		CRCE		commission des finances	Val-de-Marne		p.savoldelli@senat.fr	Professions intermédiaires administratives de la fonction publique	Fonctionnaires (Cadres moyens)	Employé de la fonction publique territoriale
57738U	Mme	Scellier	Gabrielle	ANCIEN	11/03/1911	08/02/2004	U.C.D.P.		commission des affaires sociales	Somme			Retraités	Professions médicales (Retraités)	Pharmacienne en retraite
000745	M.	Schiaffino	Laurent	ANCIEN	22/01/1897	11/07/1978	G.D.	Apparenté	commission de l'économie	Alger			Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Armateur
59559C	M.	Schiele	Pierre	ANCIEN	05/07/1925	27/07/2011	UC		commission de la culture	Haut-Rhin	Questeur du Sénat		Instituteurs et assimilés	Enseignement secondaire	Professeur
04045F	Mme	Schillinger	Patricia	ACTIF	18/01/1963		LaREM		commission des affaires sociales	Haut-Rhin	Secrétaire du Sénat	p.schillinger@senat.fr	Professions intermédiaires de la santé et du travail social	Sans profession déclarée	Aide soignante
000278	M.	Schleiter	François	ANCIEN	15/09/1911	26/09/1990	U.R.E.I.		commission de la culture	Meuse	Vice-président du Sénat		Avocats	Professions judiciaires et libérales (Avocats)	Avocat
58662V	M.	Schmaus	Guy	ANCIEN	07/07/1932		C		commission de la culture	Hauts-de-Seine	Secrétaire du Sénat		Ouvriers	Salariés (Ouvriers)	Ouvrier
58352J	M.	Schmitt	Robert	ANCIEN	11/12/1917	06/12/2003	U.R.E.I.		commission des finances	Moselle			Pharmaciens libéraux	Professions médicales (Pharmaciens)	Pharmacien
04018C	M.	Schmitz	Alain	ACTIF	27/04/1948		Les Républicains		commission de la culture	Yvelines		a.schmitz@senat.fr	Huissiers de justice, officiers ministériels et professions libérales divers	Professions judiciaires et libérales (Retraités)	Ancien commissaire-priseur
93005R	M.	Schosteck	Jean-Pierre	ANCIEN	16/03/1942		Les Républicains		commission des lois	Hauts-de-Seine		Non public	Autres personnes sans activité professionnelle	Sans profession déclarée	
74044S	M.	Schumann	Maurice	ANCIEN	10/04/1911	09/02/1998	RPR		commission des finances	Nord	Vice-président du Sénat		Professions libérales	Professions judiciaires et libérales (Divers)	Ecrivain
08054Y	Mme	Schurch	Mireille	ANCIEN	04/01/1949		CRCE		commission des affaires économiques	Allier		m.schurch@senat.fr	Professeurs, professions scientifiques	Enseignement secondaire	Professeur de sciences physiques
000147	M.	Schwartz	René	ANCIEN	08/08/1906	09/05/1960	RI		commission des lois	Moselle			Anciens cadres	Professions judiciaires et libérales (Retraités)	Ancien avocat
59307H	M.	Schwint	Robert	ANCIEN	11/01/1928	24/01/2011	SOCR		commission des finances	Doubs			Instituteurs et assimilés	Enseignement secondaire	Principal de collège
19762G	M.	Segouin	Vincent	ACTIF	01/07/1972		Les Républicains		commission des lois	Orne		v.segouin@senat.fr	Anciens professions intermédiaires	Sans profession déclarée	Agent d'assurance
89041R	M.	Seillier	Bernard	ANCIEN	12/07/1941		RDSE		commission des affaires sociales	Aveyron		b.seillier@senat.fr	Personnels de direction de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Administrateur civil
59581A	Mme	Seligmann	Françoise	ANCIEN	09/06/1919	27/02/2013	SOCR		commission des lois	Hauts-de-Seine			Journalistes, secrétaires de rédaction	Professions libérales (Journalistes)	Directrice de journal
58933A	M.	Sempe	Abel	ANCIEN	24/01/1912	22/02/2006	R.D.E.	Apparenté	commission de la culture	Gers			Agriculteurs exploitants	Professions agricoles	Viticulteur négociant
000440	M.	Seramy	Paul	ANCIEN	04/02/1920	23/02/1992	UC		commission de la culture	Seine-et-Marne			Professeurs, professions scientifiques	Enseignement (Retraités)	Professeur de lycée
92043T	M.	Sergent	Michel	ANCIEN	27/12/1943		SOCR		commission des finances	Pas-de-Calais		sergent.michel@wanadoo.fr	Instituteurs et assimilés	Enseignement primaire	Instituteur
77066M	M.	Sérusclat	Franck	ANCIEN	07/07/1921	02/07/2006	SOCR		commission de la culture	Rhône		Non public	Pharmaciens libéraux	Professions médicales (Pharmaciens)	Pharmacien
000168	M.	Servat	André	ANCIEN	24/08/1907	03/02/1990	NI		Aucune (Président du Sénat)	Haute-Garonne			Pharmaciens libéraux	Professions médicales (Pharmaciens)	Pharmacien 
000101	M.	Sibor	Henri	ANCIEN	16/05/1904	20/11/1985	U.C.D.P.		commission de la culture	Pyrénées-Atlantiques			Anciens cadres	Fonctionnaires (Retraités)	Retraité des Caisses d'épargne
000369	M.	Sicard	Pierre	ANCIEN	21/10/1915	13/12/1989	UC		commission de la culture	Cher			Agriculteurs exploitants	Professions agricoles	Agriculteur
01058X	M.	Sido	Bruno	ACTIF	19/02/1951		Les Républicains		commission des affaires étrangères	Haute-Marne		b.sido@senat.fr	Autres personnes sans activité professionnelle	Professions agricoles	Agriculteur
04101V	M.	Siffre	Jacques	ANCIEN	04/04/1937		SOCR		commission de la culture	Bouches-du-Rhône		j.siffre@senat.fr	Medecins libéraux généralistes	Professions médicales (Médecins)	Médecin ophtalmologiste
86053H	M.	Signé	René-Pierre	ANCIEN	16/09/1930		SOCR		commission de la culture	Nièvre		Rene-Pierre.Signe@wanadoo.fr	Medecins libéraux généralistes	Professions médicales (Médecins)	Médecin
000373	M.	Simonin	Jean	ANCIEN	26/05/1916	06/11/1993	RPR		commission des affaires étrangères	Essonne			Ingenieurs et cadres techniques d'entreprise	Salariés (Ingénieurs)	Ingénieur en retraite
000716	M.	Sinsout	Charles	ANCIEN	13/01/1889	03/05/1985	G.D.		commission des affaires sociales	Dordogne			Agriculteurs exploitants	Professions agricoles	Propriétaire exploitant
000364	M.	Sirgue	Albert	ANCIEN	05/06/1915	18/11/1980	U.R.E.I.		commission des affaires sociales	Aveyron			Agriculteurs exploitants	Professions agricoles	Agriculteur
04069P	Mme	Sittler	Esther	ACTIF	09/05/1952		Les Républicains		commission de l'aménagement du territoire et du développement durable	Bas-Rhin		e.sittler@senat.fr	Employés civils et agents de service de la fonction publique	Fonctionnaires (Divers)	Secrétaire administrative
11071M	M.	Soilihi	Abdourahamane	ANCIEN	04/10/1959		Les Républicains		commission de la culture	Mayotte		a.soilihi@senat.fr	Autres personnes sans activité professionnelle	Enseignement primaire	Enseignant
19703U	M.	Sol	Jean	ACTIF	03/06/1952		Les Républicains		commission des affaires sociales	Pyrénées-Orientales		j.sol@senat.fr	Cadres de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Directeur des Soins
000279	M.	Soldani	Edouard	ANCIEN	19/09/1911	18/04/1996	SOCR		commission de la culture	Var			Instituteurs et assimilés	Enseignement secondaire	Enseignement secondaire
19713W	Mme	Sollogoub	Nadia	ACTIF	09/11/1961		UC		commission de l'aménagement du territoire et du développement durable	Nièvre		n.sollogoub@senat.fr	Autres personnes sans activité professionnelle	Sans profession déclarée	Mère au foyer
000452	M.	Sordel	Michel	ANCIEN	11/11/1920	23/02/1994	U.R.E.I.		commission de l'économie	Côte-d'Or			Agriculteurs exploitants	Professions agricoles	Agriculteur
81001X	M.	Soucaret	Raymond	ANCIEN	27/07/1923	08/06/2014	RDSE		commission des affaires étrangères	Lot-et-Garonne			Agriculteurs exploitants	Professions agricoles	Entrepreneur de travaux agricoles
000123	M.	Soudant	Robert	ANCIEN	21/05/1905	26/12/1980	RPCD		commission des affaires sociales	Marne			Agriculteurs exploitants	Professions agricoles	Agriculteur
000298	M.	Soufflet	Jacques	ANCIEN	04/10/1912	09/01/1990	U.D.R.		commission des lois	Yvelines	Vice-président du Sénat		Anciens artisans, commercants, chefs d'entreprise	Commerce et industrie (Retraités)	Ancien directeur de compagnies de navigation aérienne
59247N	M.	Souffrin	Paul	ANCIEN	16/05/1932		C		commission des affaires sociales	Moselle			Medecins libéraux généralistes	Professions médicales (Médecins)	Médecin
01050P	M.	Soulage	Daniel	ANCIEN	14/02/1942		UC		commission de l'économie	Lot-et-Garonne		d.soulage@senat.fr	Autres personnes sans activité professionnelle	Professions agricoles	Agriculteur
83054V	M.	Souplet	Michel	ANCIEN	03/04/1929		UC		commission de l'économie	Oise		Non public	Agriculteurs exploitants	Professions agricoles	Agriculteur
000334	M.	Souquet	Marcel	ANCIEN	24/02/1914	29/06/1995	SOCR		commission des affaires sociales	Aude			Employés administratifs d'entreprise	Salariés (Employés)	Employé SNCF
89005M	M.	Sourdille	Jacques	ANCIEN	19/06/1922	09/07/1996	RPR		commission de l'économie	Ardennes			Médecins hospitaliers (sans activité libérale)	Professions médicales (Professeurs)	Professeur agrégé de médecine
80041C	M.	Souvet	Louis	ANCIEN	19/10/1931		Les Républicains		commission des affaires sociales	Doubs		louis.souvet@wanadoo.fr	Cadres d'entreprise	Salariés (Cadres divers)	Cadre de l'industrie
000330	M.	Spenale	Georges	ANCIEN	29/11/1913	20/08/1983	SOCR		commission des affaires étrangères	Tarn			Personnels de direction de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Gouverneur de la France d'Outre-mer
